x,Curve1
1003.6,6.76757
1009.37,5.46477
1015.14,4.38015
1021.62,3.29631
1027.39,2.2117
1033.15,0.908894
1039.64,0.0432432
1042.52,-0.608157
1048.29,-1.91096
1054.05,-2.7774
1059.82,-4.0802
1066.31,-5.16403
1072.07,-6.24865
1078.56,-7.33248
1084.32,-8.63528
1090.81,-9.71912
1096.58,-10.8037
1103.06,-11.8876
1108.83,-12.9722
1115.32,-14.056
1121.8,-15.1399
1127.57,-16.2245
1134.05,-17.3083
1139.82,-18.3929
1146.31,-19.4768
1152.79,-20.5606
1158.56,-21.6452
1165.05,-22.5109
1171.53,-23.5947
1177.3,-24.6793
1183.78,-25.545
1190.27,-26.6288
1196.76,-27.4944
1203.24,-28.5783
1209.73,-29.4439
1216.22,-30.3096
1222.7,-31.3934
1229.19,-32.2591
1235.68,-33.3429
1242.16,-34.2086
1248.65,-35.0742
1255.14,-35.9399
1261.62,-36.8055
1268.11,-37.6712
1274.59,-38.755
1281.08,-39.6206
1288.29,-40.4855
1294.77,-41.133
1301.26,-42.2168
1307.75,-42.8643
1314.23,-43.9481
1321.44,-44.5948
1327.93,-45.4604
1334.41,-46.3261
1340.9,-47.1917
1347.39,-48.0574
1354.59,-48.7041
1361.08,-49.7879
1367.57,-50.6536
1374.05,-51.301
1380.54,-52.1667
1387.03,-53.0323
1393.51,-53.898
